gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_aggressor,best_resilient
39,2488,1541.2,144,477.84,11.7,79.2,9.2,1946,2488,6.00,5.61
40,2372,1540.6,0,495.11,13.3,80.0,6.7,1978,2372,6.00,5.61
41,2406,1544.3,0,496.48,15.0,74.2,10.8,2388,2406,6.00,5.61
42,2534,1549.4,0,503.65,18.3,69.2,12.5,2242,2534,6.00,5.61
43,2396,1542.9,0,466.75,20.0,64.2,15.8,2374,2378,6.00,5.61
44,2702,1512.8,0,520.85,23.3,57.5,19.2,2342,2702,6.00,5.61
45,2684,1541.5,0,506.95,18.3,60.8,20.8,2214,2684,6.00,5.61
46,2606,1550.2,0,455.68,17.5,55.8,26.7,2078,2392,6.00,5.61
47,2406,1536.0,0,488.10,10.8,65.0,24.2,1984,2406,6.00,5.61
48,2480,1560.8,0,434.72,10.8,68.3,20.8,1878,2480,6.00,5.61
49,2512,1606.9,0,474.84,10.0,69.2,20.8,2058,2456,6.00,5.61
50,2532,1558.3,0,489.59,10.0,74.2,15.8,2104,2410,6.00,5.61
51,2690,1471.1,0,475.16,10.0,78.3,11.7,1954,2690,6.00,5.61
52,2738,1576.0,118,540.91,12.5,74.2,13.3,2064,2738,6.00,5.61
53,2490,1527.9,0,489.25,16.7,70.0,13.3,2126,2490,6.00,5.61
