gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
157,20275,10807.1,253,2532.72,15.6,18.1,66.3,75.6,66.3,19392,18462,10.53,7.36,17187,10718.5,3088,4.55,25.33,29713.5,2,0.0646,0.0669,0.0846,68201,30741,131664,61584
158,20275,10837.6,66,2798.99,11.6,21.3,67.2,73.5,67.2,19392,18462,10.53,7.36,16936,10748.3,3339,4.55,25.67,29802.5,3,0.0644,0.0666,0.0844,50434,31287,101609,62496
159,20275,10506.2,37,3213.99,27.5,15.6,56.9,86.5,56.9,19392,18462,10.53,7.36,17820,10687.7,2455,4.55,24.97,29400.9,4,0.0642,0.0663,0.0842,60240,28809,117651,57464
160,20275,10778.4,605,2640.01,19.1,24.1,56.9,87.3,56.9,19392,18462,10.53,7.36,17219,10710.4,3057,4.55,25.23,29652.3,5,0.0640,0.0660,0.0840,63765,30416,120429,60685
161,20275,10949.0,37,2588.38,18.4,23.4,58.1,86.0,58.1,19392,18462,10.53,7.36,18126,10770.1,2149,4.55,25.93,29927.9,0,0.0638,0.0657,0.0838,71611,32127,136307,63880
162,20275,11030.1,2411,2513.65,20.0,23.1,56.9,87.5,56.9,19392,18462,10.53,7.36,16838,10835.1,3438,4.55,26.69,30017.4,0,0.0636,0.0655,0.0836,72191,32503,138903,64741
163,20275,10905.8,227,2541.31,19.1,30.9,50.0,92.7,50.0,19392,18462,10.53,7.36,17071,10852.7,3204,4.55,26.90,29926.2,1,0.0635,0.0652,0.0835,63800,31843,117870,63417
164,20275,10877.0,1107,2529.64,14.4,30.9,54.7,87.7,54.7,19392,18462,10.53,7.36,17296,10858.8,2980,4.55,26.97,29941.1,2,0.0633,0.0649,0.0833,56339,31886,111526,63667
165,20275,10764.3,140,2738.22,20.0,29.7,50.3,92.8,50.3,19392,18462,10.53,7.36,15646,10835.2,4629,4.55,26.69,29749.3,3,0.0631,0.0647,0.0831,59048,30671,109961,61269
166,20275,10967.7,1077,2419.13,16.6,29.4,54.1,89.1,54.1,19392,18462,10.53,7.36,16114,10868.3,4161,4.55,27.08,30022.6,4,0.0629,0.0644,0.0829,71825,32444,134026,64600
167,20275,10788.6,76,2811.30,25.9,25.3,48.8,94.6,48.8,19392,18462,10.53,7.36,16941,10848.4,3334,4.55,26.84,29769.7,0,0.0628,0.0642,0.0828,60072,30759,112638,61479
168,20275,10849.2,719,2544.04,21.6,28.4,50.0,93.4,50.0,19392,18462,10.53,7.36,18467,10848.6,1809,4.55,26.85,29817.6,1,0.0626,0.0639,0.0826,74860,31037,144680,62209
169,20275,10986.1,413,2521.08,17.5,39.1,43.4,94.2,43.4,19392,18462,10.53,7.36,16900,10883.0,3376,4.55,27.25,30055.1,2,0.0625,0.0637,0.0825,61349,32544,121259,65111
170,20275,10663.9,392,2526.20,19.4,36.9,43.8,95.3,43.8,19392,18462,10.53,7.36,16411,10828.2,3864,4.55,26.61,29736.0,0,0.0623,0.0635,0.0823,58810,30546,109308,61262
171,20275,10974.4,218,2574.79,20.3,30.3,49.4,93.5,49.4,19392,18462,10.53,7.36,16684,10864.8,3591,4.55,27.04,30006.9,1,0.0622,0.0632,0.0822,53529,32265,106664,64602
172,20275,10876.6,37,2559.39,29.1,33.1,37.8,99.4,37.8,19392,18462,10.53,7.36,17146,10867.7,3129,4.55,27.07,29885.5,0,0.0620,0.0630,0.0820,49168,31456,97373,62947
173,20275,10789.5,229,2772.79,30.6,32.5,36.9,99.7,36.9,19392,18462,10.53,7.36,16439,10848.2,3836,4.55,26.84,29896.2,1,0.0619,0.0628,0.0819,48450,31603,96718,63167
174,20275,10972.5,151,2473.82,32.5,33.1,34.4,100.0,34.4,19392,18462,10.53,7.36,16918,10879.2,3358,4.55,27.21,29997.3,2,0.0617,0.0626,0.0817,50743,32235,100204,64211
175,20275,10937.8,37,2503.74,29.7,34.4,35.9,99.7,35.9,19392,18462,10.53,7.36,16289,10893.9,3986,4.55,27.38,29912.4,3,0.0616,0.0624,0.0816,61708,31578,116743,63099
176,20275,10783.8,570,2397.80,36.6,21.3,42.2,96.5,42.2,19392,18462,10.53,7.36,15714,10866.4,4561,4.55,27.05,29779.5,4,0.0615,0.0622,0.0815,53451,30720,107208,61618
177,20275,10856.1,228,2520.11,38.8,25.3,35.9,98.5,38.8,19392,18462,10.53,7.36,17095,10863.8,3180,4.55,27.02,29868.0,5,0.0614,0.0620,0.0814,74673,31328,145779,62789
178,20275,10904.0,1294,2491.08,36.6,27.8,35.6,99.3,36.6,19392,18462,10.53,7.36,16069,10873.8,4206,4.55,27.14,29832.5,6,0.0612,0.0619,0.0812,52945,31034,99374,62319
179,20275,10947.7,1059,2395.01,33.1,28.1,38.8,99.2,38.8,19392,18462,10.53,7.36,16459,10892.3,3817,4.55,27.36,29928.0,7,0.0611,0.0617,0.0811,59261,31710,111201,63266
180,20275,11032.4,802,2434.92,43.8,30.6,25.6,97.4,43.8,19619,18462,10.53,7.36,19619,10927.3,657,4.55,27.77,30051.7,8,0.0610,0.0615,0.0810,66399,32434,129827,64692
181,20275,10702.1,43,2561.08,41.9,34.1,24.1,97.6,41.9,19619,18462,10.53,7.36,16340,10871.0,3935,4.55,27.11,29757.2,9,0.0609,0.0614,0.0809,61320,30573,117914,61255
182,20275,10913.3,1032,2503.42,42.8,34.4,22.8,97.0,42.8,19619,18462,10.53,7.36,16346,10881.6,3929,4.55,27.23,29935.6,10,0.0608,0.0612,0.0808,56285,31718,106573,63600
183,20275,10909.8,875,2755.93,39.1,39.1,21.9,97.0,39.1,19619,18462,10.53,7.36,16560,10888.6,3716,4.55,27.32,29863.1,0,0.0607,0.0611,0.0807,60418,31248,116341,62513
184,20275,10983.3,37,2603.36,37.8,41.3,20.9,96.5,41.3,19619,18462,10.53,7.36,18799,10912.3,1477,4.55,27.59,29893.5,1,0.0606,0.0610,0.0806,63389,31354,125715,62834
185,20275,10921.4,1308,2597.86,33.4,45.6,20.9,95.4,45.6,19619,18462,10.53,7.36,16033,10914.6,4242,4.55,27.62,29863.3,2,0.0606,0.0608,0.0806,51293,31136,99958,62441
186,20275,11061.5,37,2722.94,29.1,50.3,20.6,93.0,50.3,19619,18462,10.53,7.36,17581,10951.3,2695,4.55,28.05,30015.1,3,0.0605,0.0607,0.0805,69580,32057,136158,64203
187,20275,11100.8,37,2529.08,30.0,45.9,24.1,96.2,45.9,19619,18462,10.53,7.36,17223,10988.7,3052,4.55,28.48,30051.5,0,0.0604,0.0606,0.0804,58039,32222,118181,64384
188,20275,11117.4,116,2570.78,25.9,51.3,22.8,92.7,51.3,19619,18462,10.53,7.36,16850,11020.9,3425,4.55,28.86,30098.0,1,0.0604,0.0605,0.0804,67476,32426,132835,64831
189,20275,11065.4,399,2429.11,25.0,49.4,25.6,94.2,49.4,19619,18462,10.53,7.36,15776,11032.0,4499,4.55,28.99,30011.8,2,0.0603,0.0604,0.0803,46976,31789,93349,63679
190,20275,10897.1,282,2629.51,28.1,46.6,25.3,96.0,46.6,19619,18462,10.53,7.36,16604,10998.3,3671,4.55,28.60,29918.5,3,0.0602,0.0604,0.0802,54094,31274,110746,62626
191,20275,10961.1,1615,2624.38,32.2,41.3,26.6,98.4,41.3,19619,18462,10.53,7.36,18108,10989.0,2167,4.55,28.49,29957.9,4,0.0602,0.0603,0.0802,67651,31572,127400,63190
192,20275,10958.2,282,2657.77,26.6,45.3,28.1,96.8,45.3,19619,18462,10.53,7.36,16328,10981.3,3947,4.55,28.40,30008.8,5,0.0601,0.0602,0.0801,58572,31965,111308,63846
193,20275,11097.4,245,2705.00,25.6,41.6,32.8,98.1,41.6,19619,18462,10.53,7.37,17330,11010.3,2945,4.55,28.74,30039.3,6,0.0601,0.0602,0.0801,54422,32081,104787,64077
194,20275,10923.0,610,2460.80,30.6,39.4,30.0,99.2,39.4,19619,18462,10.53,7.37,17852,10988.5,2424,4.55,28.48,29914.4,7,0.0601,0.0601,0.0801,61315,31221,113126,62755
195,20275,10890.1,1844,2375.39,35.3,31.6,33.1,99.9,35.3,19619,18462,10.53,7.37,17613,10963.9,2662,4.55,28.20,29931.1,8,0.0600,0.0601,0.0800,68749,31472,130729,62975
196,20275,10998.7,1485,2633.25,37.8,34.4,27.8,99.2,37.8,19619,18462,10.53,7.37,17032,10972.6,3244,4.55,28.30,29916.5,9,0.0600,0.0600,0.0800,58164,31327,106362,62778
197,20275,11000.7,57,2684.98,37.8,35.9,26.3,98.8,37.8,19619,18462,10.53,7.37,17159,10979.6,3116,4.55,28.38,29950.4,10,0.0600,0.0600,0.0800,65105,31547,121074,63152
198,20275,10846.4,1404,2577.71,40.6,31.3,28.1,98.7,40.6,19619,18462,10.53,7.37,17368,10946.3,2907,4.55,27.99,29877.7,11,0.0600,0.0600,0.0800,68401,31153,129764,62405
199,20275,10835.1,215,2475.09,35.0,30.3,34.7,99.8,35.0,19619,18462,10.53,7.37,16111,10918.5,4165,4.55,27.66,29916.7,12,0.0600,0.0600,0.0800,60891,31505,110161,63074
